,idade,renda,situacao_moradia,tempo_trabalhado,motivo_emprestimo,score,valor_emprestimo,taxa_juros,inadimplente,razao_renda_emprestimo,devedor,tempo_historico_credito
17369,24,85000.0,Mortgage,4.0,Debtconsolidation,B,15000.0,9.88,0,0.18,N,3
17370,26,80000.0,Mortgage,10.0,Venture,C,4000.0,14.27,0,0.05,Y,5
17371,26,35000.0,Mortgage,10.0,Homeimprovement,B,2500.0,9.25,0,0.07,N,3
17372,24,57000.0,Mortgage,0.0,Homeimprovement,A,6000.0,0.0,0,0.11,N,2
17373,24,115154.0,Rent,8.0,Debtconsolidation,C,3000.0,14.27,0,0.03,Y,2
17374,47,35000.0,Own,9.0,Personal,B,2500.0,0.0,0,0.07,N,12
17375,35,110000.0,Rent,9.0,Debtconsolidation,C,25000.0,13.49,0,0.23,N,8
17376,22,50000.0,Mortgage,5.0,Venture,B,10000.0,10.36,0,0.2,N,3
17377,26,44004.0,Rent,2.0,Medical,A,4500.0,7.74,0,0.1,N,3
17378,40,33000.0,Mortgage,2.0,Medical,B,1000.0,0.0,0,0.03,N,16
17379,29,50000.0,Rent,3.0,Debtconsolidation,B,7000.0,0.0,0,0.14,N,6
17380,29,75996.0,Own,3.0,Venture,B,8000.0,10.74,0,0.11,N,10
17381,23,56880.0,Rent,7.0,Education,B,5600.0,0.0,0,0.1,N,2
17382,25,34000.0,Mortgage,2.0,Medical,C,15450.0,11.22,1,0.45,Y,4
17383,29,28080.0,Rent,1.0,Medical,B,2500.0,10.99,0,0.09,N,8
17384,22,124000.0,Mortgage,6.0,Medical,C,11000.0,0.0,0,0.09,N,3
17385,23,40000.0,Rent,3.0,Education,A,6000.0,5.79,0,0.15,N,4
17386,35,60000.0,Rent,0.0,Debtconsolidation,C,4000.0,13.98,0,0.07,N,7
17387,24,105000.0,Mortgage,0.0,Venture,A,18000.0,8.94,0,0.17,N,3
17388,25,48000.0,Rent,0.0,Homeimprovement,F,3200.0,0.0,1,0.07,Y,4
17389,33,18720.0,Own,0.0,Medical,C,3500.0,13.16,1,0.19,N,5
17390,21,65496.0,Mortgage,3.0,Debtconsolidation,B,13250.0,10.37,0,0.2,N,4
17391,32,118000.0,Mortgage,3.0,Debtconsolidation,D,8875.0,14.84,1,0.08,N,5
17392,21,21000.0,Rent,2.0,Venture,A,5000.0,6.91,0,0.24,N,4
17393,28,66000.0,Rent,11.0,Debtconsolidation,C,9000.0,13.99,0,0.14,N,7
17394,32,50000.0,Rent,3.0,Medical,C,2500.0,13.49,0,0.05,N,10
17395,22,24996.0,Rent,3.0,Medical,D,5000.0,0.0,1,0.2,Y,3
17396,25,121000.0,Mortgage,9.0,Medical,B,13600.0,11.99,0,0.11,N,2
17397,26,126000.0,Mortgage,4.0,Debtconsolidation,C,7500.0,13.92,0,0.06,N,2
17398,24,120000.0,Own,8.0,Education,A,5275.0,5.42,0,0.04,N,4
17399,24,121000.0,Rent,8.0,Personal,F,18000.0,18.3,0,0.15,N,3
17400,35,58000.0,Mortgage,8.0,Medical,C,6000.0,12.99,0,0.1,Y,8
17401,25,50000.0,Rent,3.0,Personal,D,12000.0,16.77,0,0.24,N,3
17402,22,42000.0,Rent,2.0,Education,A,6500.0,5.99,0,0.15,N,2
17403,25,76209.0,Mortgage,9.0,Debtconsolidation,C,3000.0,0.0,0,0.04,Y,4
17404,21,40000.0,Rent,0.0,Education,A,1775.0,6.54,0,0.04,N,3
17405,29,72000.0,Mortgage,13.0,Venture,A,22100.0,7.29,0,0.31,N,5
17406,25,23000.0,Rent,4.0,Medical,B,4300.0,11.86,0,0.19,N,3
17407,30,48000.0,Rent,4.0,Medical,A,7500.0,7.49,0,0.16,N,6
17408,32,40020.0,Rent,2.0,Debtconsolidation,C,9000.0,14.35,0,0.22,N,6
17409,22,45630.0,Rent,0.0,Education,E,2500.0,18.64,1,0.05,N,2
17410,26,80000.0,Rent,10.0,Venture,B,12000.0,11.83,0,0.15,N,3
17411,23,71004.0,Own,1.0,Education,C,15000.0,13.47,0,0.21,Y,3
17412,23,33000.0,Rent,5.0,Debtconsolidation,D,4800.0,14.54,1,0.15,Y,3
17413,23,30000.0,Mortgage,7.0,Education,A,12000.0,8.94,0,0.4,N,4
17414,25,74000.0,Rent,9.0,Homeimprovement,A,8000.0,7.29,1,0.11,N,3
17415,41,24000.0,Own,3.0,Education,C,4500.0,12.99,0,0.19,Y,12
17416,27,35000.0,Rent,3.0,Medical,C,8000.0,14.79,0,0.23,Y,9
17418,27,54000.0,Mortgage,4.0,Medical,A,9000.0,6.62,0,0.17,N,10
17419,32,30000.0,Mortgage,16.0,Education,A,7000.0,6.99,0,0.23,N,6
17420,23,36000.0,Rent,0.0,Education,A,8000.0,7.51,0,0.22,N,2
17421,22,50000.0,Mortgage,3.0,Personal,B,6000.0,11.11,0,0.12,N,3
17422,23,25200.0,Own,3.0,Education,B,1000.0,11.48,0,0.04,N,4
17423,25,24000.0,Rent,1.0,Debtconsolidation,D,12000.0,12.17,1,0.5,Y,4
17424,21,34000.0,Rent,2.0,Personal,D,5000.0,14.59,1,0.15,N,4
17425,27,57504.0,Mortgage,11.0,Medical,B,17000.0,12.18,1,0.3,N,8
17426,24,36000.0,Own,5.0,Personal,B,8000.0,10.65,0,0.22,N,2
17427,24,72996.0,Rent,2.0,Personal,B,5500.0,11.49,0,0.08,N,3
17428,30,40000.0,Rent,1.0,Debtconsolidation,A,5500.0,7.74,0,0.14,N,10
17429,25,75000.0,Own,9.0,Education,B,5600.0,10.62,0,0.07,N,2
17430,22,27000.0,Rent,0.0,Venture,D,5000.0,0.0,1,0.19,Y,2
17431,24,50000.0,Mortgage,0.0,Homeimprovement,B,5500.0,0.0,0,0.11,N,3
17432,23,50004.0,Mortgage,7.0,Personal,B,16000.0,11.83,0,0.32,N,2
17433,29,30000.0,Mortgage,3.0,Venture,A,6000.0,5.79,0,0.2,N,8
17434,28,56000.0,Rent,4.0,Personal,A,6400.0,7.29,0,0.11,N,9
17435,27,80000.0,Mortgage,4.0,Personal,A,6000.0,6.03,0,0.08,N,10
17436,21,15874.0,Rent,0.0,Education,B,1500.0,0.0,0,0.09,N,3
17437,28,44928.0,Mortgage,5.0,Venture,C,1000.0,13.06,0,0.02,Y,8
17438,25,61995.0,Rent,2.0,Venture,B,8000.0,9.99,0,0.13,N,4
17439,24,54996.0,Rent,2.0,Homeimprovement,B,23600.0,11.89,1,0.43,N,4
17440,22,27000.0,Rent,3.0,Medical,A,2800.0,7.51,1,0.1,N,3
17441,27,54000.0,Rent,1.0,Homeimprovement,F,12750.0,0.0,1,0.24,Y,7
17442,24,30000.0,Mortgage,0.0,Homeimprovement,A,8000.0,6.17,0,0.27,N,2
17443,27,30000.0,Rent,5.0,Medical,D,7000.0,15.62,1,0.23,N,6
17444,22,79000.0,Rent,3.0,Debtconsolidation,A,10000.0,7.88,0,0.13,N,2
17445,23,16000.0,Own,7.0,Medical,A,6000.0,7.9,1,0.38,N,2
17446,24,30000.0,Rent,6.0,Education,E,7750.0,0.0,0,0.26,Y,2
17447,27,125000.0,Mortgage,11.0,Personal,C,15975.0,12.72,0,0.13,Y,8
17448,27,37440.0,Rent,5.0,Personal,A,15000.0,7.9,1,0.4,N,8
17449,45,35000.0,Other,6.0,Personal,B,4800.0,0.0,0,0.14,N,12
17450,28,44004.0,Mortgage,5.0,Medical,C,6000.0,13.06,0,0.14,Y,10
17451,24,45000.0,Rent,0.0,Medical,C,11200.0,12.04,0,0.25,Y,3
17452,25,50000.0,Rent,6.0,Venture,A,8000.0,7.9,0,0.16,N,4
17453,25,46116.0,Mortgage,9.0,Debtconsolidation,C,10000.0,11.03,0,0.22,N,3
17454,40,90000.0,Rent,1.0,Education,C,1500.0,14.27,0,0.02,Y,14
17456,26,95000.0,Rent,4.0,Debtconsolidation,A,4800.0,0.0,0,0.05,N,4
17457,26,123996.0,Mortgage,10.0,Medical,A,2000.0,5.42,0,0.02,N,4
17458,37,33600.0,Rent,3.0,Personal,B,8000.0,0.0,0,0.24,N,17
17459,24,74000.0,Rent,1.0,Homeimprovement,D,10000.0,14.54,1,0.14,N,2
17460,21,36000.0,Mortgage,3.0,Debtconsolidation,A,4000.0,5.99,0,0.11,N,4
17461,41,52106.0,Rent,4.0,Education,C,5000.0,12.84,1,0.1,N,13
17462,40,46000.0,Mortgage,5.0,Homeimprovement,A,10000.0,7.9,0,0.22,N,14
17463,24,60000.0,Mortgage,3.0,Homeimprovement,B,4000.0,11.86,0,0.07,N,2
17464,22,45000.0,Mortgage,2.0,Education,D,8000.0,16.49,0,0.18,Y,4
17465,23,88000.0,Mortgage,3.0,Venture,A,2700.0,7.9,0,0.03,N,4
17467,25,57000.0,Rent,8.0,Medical,B,2000.0,11.36,0,0.04,N,2
17469,33,42000.0,Mortgage,3.0,Debtconsolidation,A,13000.0,7.9,0,0.31,N,6
17470,28,81120.0,Mortgage,5.0,Homeimprovement,B,5200.0,11.49,0,0.06,N,7
17472,23,42000.0,Rent,6.0,Education,B,11800.0,12.69,0,0.28,N,2
17473,24,91228.0,Mortgage,2.0,Medical,A,12000.0,7.49,0,0.13,N,3
17474,22,72000.0,Own,2.0,Medical,A,15000.0,7.9,0,0.21,N,2
17475,25,73000.0,Rent,1.0,Education,A,12000.0,7.49,0,0.16,N,3
17476,28,116000.0,Mortgage,12.0,Venture,A,14000.0,7.51,0,0.12,N,6
17477,22,70000.0,Mortgage,4.0,Venture,B,13750.0,10.75,0,0.2,N,3
17478,28,52000.0,Rent,0.0,Homeimprovement,B,4000.0,10.75,0,0.08,N,8
17479,43,22800.0,Rent,0.0,Medical,B,5075.0,10.59,0,0.22,N,12
17480,22,38272.0,Own,6.0,Medical,B,4800.0,9.99,0,0.13,N,2
17481,22,25000.0,Own,6.0,Venture,A,13000.0,7.88,0,0.52,N,3
17482,21,21600.0,Own,0.0,Venture,A,7125.0,6.99,0,0.33,N,3
17483,29,60000.0,Mortgage,13.0,Medical,A,8000.0,5.99,0,0.13,N,9
17484,30,54000.0,Rent,14.0,Personal,D,4425.0,17.49,0,0.08,Y,9
17485,22,34000.0,Rent,4.0,Personal,A,6000.0,0.0,1,0.18,N,2
17486,33,82000.0,Mortgage,2.0,Venture,A,6000.0,7.51,0,0.07,N,6
17487,28,55000.0,Rent,3.0,Medical,B,6000.0,10.74,0,0.11,N,8
17488,25,123144.0,Rent,2.0,Medical,B,12000.0,10.75,0,0.1,N,2
17490,23,40308.0,Mortgage,1.0,Education,A,5000.0,7.68,0,0.12,N,4
17491,28,68804.0,Mortgage,1.0,Education,A,22000.0,6.99,0,0.32,N,6
17492,24,110400.0,Mortgage,8.0,Venture,A,3000.0,7.49,0,0.03,N,4
17493,25,45996.0,Rent,3.0,Venture,C,11500.0,12.53,0,0.25,N,4
17494,23,28800.0,Own,2.0,Personal,B,3000.0,11.11,0,0.1,N,4
17495,28,50123.0,Mortgage,11.0,Personal,B,2200.0,11.49,0,0.04,N,8
17496,23,41000.0,Mortgage,7.0,Education,A,6000.0,6.03,0,0.15,N,4
17497,31,135000.0,Mortgage,14.0,Personal,B,15000.0,10.75,0,0.11,N,6
17498,23,92000.0,Mortgage,7.0,Venture,E,7500.0,11.83,0,0.08,N,4
17499,22,36000.0,Rent,5.0,Education,A,4500.0,6.17,0,0.12,N,3
17500,23,24000.0,Rent,2.0,Medical,B,2800.0,11.49,1,0.12,N,4
17501,26,84996.0,Rent,4.0,Education,B,3600.0,11.99,0,0.04,N,2
17502,24,61193.0,Mortgage,5.0,Education,A,6400.0,8.59,0,0.1,N,3
17503,22,36628.0,Rent,4.0,Education,B,6000.0,11.86,0,0.16,N,4
17504,24,60000.0,Rent,8.0,Education,A,16800.0,6.54,0,0.28,N,2
17505,25,50000.0,Rent,4.0,Debtconsolidation,C,8000.0,13.85,0,0.16,N,3
17506,21,57000.0,Rent,3.0,Personal,A,3000.0,5.42,0,0.05,N,3
17507,27,23400.0,Rent,5.0,Education,D,7000.0,15.7,1,0.3,Y,5
17508,21,12000.0,Own,0.0,Personal,C,4200.0,13.48,1,0.35,Y,4
17509,36,50000.0,Rent,4.0,Homeimprovement,C,3125.0,13.47,0,0.06,Y,14
17510,24,42765.0,Rent,9.0,Debtconsolidation,C,18000.0,11.03,1,0.42,Y,2
17511,22,39900.0,Rent,4.0,Education,B,19000.0,12.18,1,0.48,N,2
17512,30,60000.0,Own,7.0,Venture,D,6000.0,14.84,0,0.1,Y,6
17513,27,50000.0,Rent,5.0,Venture,A,8000.0,7.14,0,0.16,N,6
17514,25,40000.0,Rent,2.0,Medical,C,18000.0,13.11,1,0.45,Y,3
17515,24,105000.0,Rent,8.0,Debtconsolidation,B,15000.0,10.95,0,0.14,N,3
17517,27,60000.0,Mortgage,0.0,Debtconsolidation,B,4000.0,9.91,0,0.07,N,7
17518,32,54000.0,Mortgage,6.0,Education,A,4800.0,0.0,0,0.09,N,7
17519,22,53500.0,Rent,2.0,Education,B,10000.0,9.99,0,0.19,N,3
17520,38,74237.0,Mortgage,4.0,Personal,C,18000.0,14.35,0,0.24,Y,15
17521,34,56400.0,Mortgage,2.0,Debtconsolidation,A,7000.0,7.9,0,0.12,N,10
17522,25,80000.0,Rent,8.0,Debtconsolidation,D,5000.0,14.96,1,0.06,Y,4
17523,23,46000.0,Rent,3.0,Medical,D,15000.0,16.0,1,0.33,N,4
17524,24,65000.0,Rent,0.0,Education,B,14000.0,10.99,0,0.22,N,4
17526,22,31200.0,Rent,3.0,Venture,C,4200.0,13.57,0,0.13,Y,2
17527,26,65600.0,Rent,5.0,Education,D,10000.0,13.55,1,0.15,Y,2
17528,25,62400.0,Own,7.0,Personal,E,4000.0,18.39,1,0.06,Y,2
17529,37,74000.0,Rent,7.0,Personal,B,15000.0,11.71,0,0.2,N,11
17530,21,18000.0,Rent,1.0,Venture,A,3200.0,8.49,1,0.18,N,2
17531,28,78000.0,Mortgage,1.0,Homeimprovement,C,5000.0,12.99,0,0.06,Y,7
17532,25,19200.0,Rent,3.0,Venture,B,5000.0,10.99,1,0.26,N,3
17533,24,70000.0,Mortgage,8.0,Homeimprovement,B,4800.0,11.36,0,0.07,N,2
17535,23,85000.0,Rent,7.0,Medical,B,10000.0,11.89,0,0.12,N,4
17536,26,88068.0,Rent,10.0,Debtconsolidation,B,14400.0,0.0,0,0.16,N,2
17537,24,56100.0,Mortgage,0.0,Medical,B,6000.0,11.71,1,0.11,N,4
17538,32,64000.0,Rent,1.0,Education,B,13000.0,10.99,0,0.2,N,9
17539,23,40000.0,Rent,7.0,Personal,A,15000.0,7.49,1,0.38,N,3
17541,29,54000.0,Mortgage,8.0,Medical,D,14800.0,15.31,1,0.27,Y,10
17542,23,18460.0,Rent,0.0,Personal,A,2775.0,7.68,0,0.15,N,2
17544,34,21000.0,Rent,2.0,Medical,A,2100.0,7.88,0,0.1,N,8
17545,31,45000.0,Mortgage,6.0,Debtconsolidation,A,2500.0,7.88,0,0.06,N,8
17546,26,18144.0,Rent,2.0,Personal,B,2675.0,9.91,0,0.15,N,4
17547,25,119047.61904761905,Mortgage,3.0,Debtconsolidation,B,25000.0,14.96,0,0.21,Y,9
17550,36,84000.0,Mortgage,14.0,Venture,A,1000.0,7.51,0,0.01,N,16
17551,30,70000.0,Mortgage,9.0,Personal,A,7000.0,8.9,0,0.1,N,8
17552,27,73400.0,Mortgage,10.0,Medical,A,2100.0,6.76,0,0.03,N,5
17553,37,56000.0,Mortgage,2.0,Homeimprovement,A,13000.0,9.63,0,0.23,N,17
17554,33,101000.0,Mortgage,8.0,Homeimprovement,A,5000.0,7.49,0,0.05,N,7
17555,22,38400.0,Own,5.0,Education,C,10000.0,13.99,0,0.26,N,2
17556,46,105398.0,Mortgage,9.0,Homeimprovement,E,20700.0,17.43,0,0.2,N,12
17557,29,42000.0,Mortgage,6.0,Education,A,5500.0,7.66,1,0.13,N,10
17558,50,68608.0,Rent,21.0,Venture,B,7500.0,10.33,0,0.11,N,15
17559,23,62400.0,Rent,0.0,Debtconsolidation,C,10000.0,12.87,0,0.16,Y,4
17560,24,54000.0,Own,8.0,Personal,B,10000.0,10.99,0,0.19,N,3
17561,24,53000.0,Own,8.0,Medical,A,3350.0,6.76,0,0.06,N,2
17562,27,27000.0,Mortgage,4.0,Venture,A,4300.0,5.99,0,0.16,N,6
17563,25,101000.0,Mortgage,9.0,Education,B,17000.0,11.71,0,0.17,N,3
17564,27,44630.0,Own,10.0,Medical,B,10825.0,10.99,0,0.24,N,8
17565,29,75000.0,Rent,2.0,Homeimprovement,B,7000.0,11.71,0,0.09,N,9
17566,23,26400.0,Rent,0.0,Medical,A,7000.0,7.4,0,0.27,N,2
17567,21,18000.0,Rent,2.0,Personal,B,4500.0,10.38,1,0.25,N,2
17568,23,79996.0,Mortgage,2.0,Education,E,24000.0,16.32,0,0.3,Y,3
17570,25,82000.0,Rent,1.0,Education,E,22000.0,17.51,1,0.27,N,2
17571,24,37004.0,Rent,2.0,Venture,D,5500.0,15.05,1,0.15,N,4
17572,25,82000.0,Rent,2.0,Venture,B,4050.0,9.99,0,0.05,N,2
17573,21,18000.0,Rent,3.0,Personal,C,1500.0,12.87,0,0.08,Y,4
17574,28,136092.0,Mortgage,2.0,Venture,C,8000.0,13.61,0,0.06,N,5
17575,35,55000.0,Rent,3.0,Debtconsolidation,B,9000.0,10.25,0,0.16,N,6
17576,29,18000.0,Rent,0.0,Debtconsolidation,B,6400.0,10.37,1,0.36,N,6
17577,38,43000.0,Rent,22.0,Medical,D,10000.0,16.89,1,0.23,Y,12
17578,28,73000.0,Rent,3.0,Debtconsolidation,C,1000.0,0.0,0,0.01,N,7
17579,23,83000.0,Mortgage,5.0,Education,B,20000.0,11.83,1,0.24,N,4
17580,22,128165.0,Rent,6.0,Debtconsolidation,A,14000.0,8.94,0,0.11,N,3
17581,23,80000.0,Mortgage,7.0,Education,B,15000.0,12.42,0,0.19,N,2
17583,25,60000.0,Mortgage,10.0,Venture,D,10000.0,16.77,0,0.17,N,3
17584,27,75000.0,Mortgage,2.0,Venture,B,8000.0,10.95,0,0.11,N,7
17585,28,90722.0,Mortgage,7.0,Homeimprovement,B,18000.0,10.99,0,0.2,N,5
17587,40,73100.0,Rent,0.0,Medical,D,20000.0,14.54,1,0.27,Y,11
17588,36,23004.0,Own,0.0,Venture,B,12000.0,11.48,0,0.52,N,11
17589,34,51600.0,Rent,0.0,Medical,D,1600.0,15.21,1,0.03,Y,6
17590,25,51996.0,Rent,9.0,Venture,B,20000.0,10.99,1,0.38,N,3
17591,33,42000.0,Rent,3.0,Debtconsolidation,C,12000.0,13.57,0,0.29,N,7
17592,23,40000.0,Rent,4.0,Personal,C,3500.0,13.23,0,0.09,Y,2
17593,28,42682.0,Rent,1.0,Personal,A,8000.0,6.03,0,0.19,N,9
17594,24,95000.0,Rent,0.0,Education,A,4000.0,7.9,0,0.04,N,4
17595,34,65000.0,Mortgage,4.0,Debtconsolidation,A,11200.0,7.88,0,0.17,N,6
17596,27,65000.0,Mortgage,11.0,Homeimprovement,A,8000.0,7.49,0,0.12,N,9
17597,25,25000.0,Rent,5.0,Homeimprovement,B,3450.0,11.99,1,0.14,N,4
17598,22,65000.0,Rent,3.0,Medical,A,14000.0,7.49,0,0.22,N,2
17599,32,49500.0,Rent,2.0,Medical,B,8900.0,0.0,0,0.18,N,7
17600,24,28596.0,Rent,5.0,Education,B,1500.0,11.46,0,0.05,N,4
17601,24,112000.0,Mortgage,0.0,Education,A,3000.0,5.99,0,0.03,N,3
17602,25,49029.0,Rent,8.0,Medical,B,2000.0,11.99,0,0.04,N,2
17603,23,43500.0,Rent,2.0,Personal,C,10400.0,13.49,0,0.24,N,4
17604,26,50049.0,Rent,5.0,Debtconsolidation,C,8000.0,12.99,0,0.16,N,3
17605,27,34000.0,Rent,0.0,Personal,D,10000.0,15.37,1,0.29,Y,5
17606,42,62000.0,Rent,2.0,Personal,B,8000.0,9.63,0,0.13,N,11
17607,22,50004.0,Own,0.0,Venture,C,5000.0,14.26,0,0.1,Y,4
17609,24,78000.0,Own,8.0,Education,B,25000.0,12.18,0,0.32,N,4
17612,30,49000.0,Mortgage,2.0,Personal,C,16000.0,13.49,1,0.33,N,7
17613,22,40000.0,Rent,0.0,Education,A,10000.0,8.0,0,0.25,N,4
17614,34,91200.0,Rent,5.0,Medical,A,12000.0,6.92,0,0.13,N,7
17615,22,71000.0,Rent,3.0,Medical,A,10000.0,7.29,0,0.14,N,2
17616,25,115200.0,Rent,0.0,Homeimprovement,B,24250.0,11.36,0,0.21,N,2
17617,42,73100.0,Rent,4.0,Medical,D,12000.0,16.77,1,0.16,Y,13
17618,29,40404.0,Rent,4.0,Venture,A,1800.0,0.0,0,0.04,Y,3
17619,31,39996.0,Mortgage,3.0,Venture,B,9600.0,11.26,0,0.24,N,7
17620,24,46000.0,Rent,4.0,Personal,C,9000.0,13.22,0,0.2,N,3
17621,29,28550.0,Rent,6.0,Debtconsolidation,B,4000.0,10.59,0,0.14,N,10
17622,41,54000.0,Mortgage,6.0,Venture,C,5000.0,13.23,1,0.09,N,12
17623,28,53100.0,Rent,4.0,Medical,D,3000.0,0.0,1,0.06,N,9
17624,25,59650.0,Mortgage,9.0,Personal,C,10000.0,13.61,0,0.17,Y,2
17625,22,36000.0,Mortgage,6.0,Venture,D,1400.0,14.84,0,0.04,N,2
17626,27,30000.0,Rent,3.0,Medical,B,2500.0,11.14,0,0.08,N,5
17627,25,13200.0,Rent,0.0,Debtconsolidation,A,6625.0,8.63,1,0.5,N,3
17628,26,28800.0,Mortgage,2.0,Venture,A,5150.0,6.62,0,0.18,N,2
17629,21,17500.0,Rent,0.0,Debtconsolidation,C,4000.0,13.22,1,0.23,Y,4
17630,27,36000.0,Mortgage,6.0,Venture,B,4000.0,11.49,0,0.11,N,9
17631,23,63402.0,Rent,3.0,Debtconsolidation,C,6000.0,13.22,0,0.09,N,4
17632,36,90000.0,Rent,7.0,Personal,D,30000.0,15.99,1,0.33,Y,11
17633,37,43000.0,Rent,1.0,Medical,A,10000.0,7.9,0,0.23,N,16
17634,21,45000.0,Rent,5.0,Venture,C,4000.0,12.87,0,0.09,Y,2
17636,24,60140.0,Rent,2.0,Venture,A,7000.0,8.59,0,0.12,N,3
17637,31,19200.0,Rent,0.0,Medical,A,4075.0,8.32,1,0.21,N,6
17638,31,95000.0,Mortgage,5.0,Debtconsolidation,B,15000.0,11.14,0,0.16,N,9
17640,22,39000.0,Rent,3.0,Education,D,10000.0,0.0,1,0.26,Y,3
17643,31,90400.0,Mortgage,9.0,Medical,B,9500.0,10.37,0,0.11,N,6
17644,31,121000.0,Mortgage,15.0,Debtconsolidation,C,25000.0,12.73,0,0.21,Y,9
17645,33,33600.0,Mortgage,0.0,Personal,C,2500.0,14.65,0,0.07,N,8
17646,25,110000.0,Mortgage,5.0,Venture,C,1200.0,13.49,0,0.01,N,4
17647,22,49920.0,Mortgage,1.0,Education,C,10000.0,12.53,0,0.2,N,3
17648,38,30500.0,Rent,8.0,Education,C,10000.0,14.22,1,0.33,N,12
17649,23,86000.0,Mortgage,2.0,Personal,A,15000.0,6.03,0,0.17,N,2
17650,33,48000.0,Mortgage,7.0,Medical,A,13800.0,8.9,0,0.29,N,6
17651,31,26000.0,Mortgage,1.0,Homeimprovement,C,2400.0,14.27,0,0.09,N,9
17652,28,105000.0,Mortgage,1.0,Debtconsolidation,A,24000.0,0.0,0,0.23,N,6
17653,24,71000.0,Mortgage,6.0,Education,B,5000.0,10.39,1,0.07,N,2
17654,30,57000.0,Rent,14.0,Debtconsolidation,A,12000.0,5.42,0,0.21,N,7
17655,23,68000.0,Mortgage,0.0,Education,A,4000.0,0.0,1,0.06,N,13
17656,26,37200.0,Mortgage,10.0,Debtconsolidation,C,16000.0,13.11,1,0.43,N,2
17657,23,40000.0,Rent,7.0,Venture,C,1500.0,13.99,0,0.04,Y,2
17658,27,12000.0,Rent,2.0,Medical,A,5000.0,8.49,1,0.42,N,10
17659,35,32900.0,Rent,4.0,Homeimprovement,C,4800.0,13.23,1,0.15,Y,8
17660,24,135000.0,Rent,6.0,Medical,B,14400.0,12.69,0,0.11,N,4
17661,34,82000.0,Rent,3.0,Medical,A,6000.0,8.9,0,0.07,N,5
17662,24,105508.0,Mortgage,8.0,Medical,A,3500.0,7.66,0,0.03,N,4
17663,22,100000.0,Rent,2.0,Education,C,8450.0,12.99,0,0.08,Y,2
17664,35,30000.0,Rent,3.0,Education,B,8000.0,0.0,0,0.27,N,6
17665,23,41000.0,Rent,7.0,Education,A,4700.0,7.9,0,0.11,N,4
17666,23,24000.0,Mortgage,1.0,Debtconsolidation,D,2800.0,16.07,1,0.12,N,3
17667,36,65004.0,Rent,3.0,Education,D,20000.0,15.33,1,0.31,N,15
17669,26,44000.0,Mortgage,3.0,Debtconsolidation,D,3500.0,16.29,1,0.08,N,3
17670,26,130000.0,Mortgage,8.0,Personal,A,10000.0,6.03,0,0.08,N,2
17671,27,39000.0,Mortgage,0.0,Debtconsolidation,C,6900.0,12.87,0,0.18,N,9
17672,29,30000.0,Mortgage,7.0,Debtconsolidation,C,1500.0,13.16,0,0.05,N,8
17673,25,66000.0,Rent,9.0,Education,D,25000.0,15.33,1,0.38,N,2
17674,25,24996.0,Rent,1.0,Personal,C,4200.0,14.26,0,0.17,Y,2
17677,22,74000.0,Mortgage,0.0,Venture,G,19000.0,20.48,1,0.26,Y,2
17678,29,30000.0,Mortgage,2.0,Medical,A,6500.0,8.59,0,0.22,N,10
17679,21,50700.0,Rent,5.0,Venture,B,7950.0,10.99,0,0.16,N,3
17680,21,40000.0,Mortgage,3.0,Debtconsolidation,A,6000.0,5.79,0,0.15,N,3
17681,24,50000.0,Rent,2.0,Homeimprovement,B,7500.0,10.01,0,0.15,N,3
17682,29,55000.0,Rent,3.0,Education,B,14000.0,11.48,0,0.25,N,7
17683,25,24996.0,Rent,3.0,Education,C,7500.0,12.98,0,0.3,Y,3
17684,23,64000.0,Rent,0.0,Personal,C,12000.0,13.16,0,0.19,N,2
17686,27,55596.0,Mortgage,5.0,Medical,A,2000.0,7.51,0,0.04,N,9
17687,22,65000.0,Mortgage,6.0,Medical,B,3800.0,11.12,0,0.06,N,4
17688,24,87000.0,Mortgage,6.0,Personal,B,6000.0,10.65,0,0.07,N,4
17689,29,85155.0,Rent,13.0,Homeimprovement,D,20000.0,14.61,0,0.23,N,6
17690,27,60000.0,Rent,11.0,Debtconsolidation,B,1800.0,11.46,0,0.03,N,8
17691,24,73000.0,Mortgage,7.0,Debtconsolidation,A,14400.0,8.94,0,0.2,N,2
17692,28,90000.0,Mortgage,7.0,Personal,A,12000.0,8.32,0,0.13,N,9
17693,27,25200.0,Rent,3.0,Medical,A,6000.0,7.9,0,0.24,N,5
17694,31,124992.0,Mortgage,15.0,Debtconsolidation,A,24000.0,8.49,0,0.19,N,5
17695,49,120000.0,Mortgage,12.0,Medical,B,12000.0,10.99,0,0.1,N,12
17696,21,72000.0,Rent,3.0,Education,A,6000.0,5.42,0,0.08,N,4
17697,32,55000.0,Own,4.0,Homeimprovement,E,15250.0,16.35,0,0.28,Y,6
17698,23,138000.0,Rent,1.0,Education,D,5000.0,14.91,1,0.04,N,2
17699,24,72250.0,Rent,5.0,Medical,E,17600.0,17.19,1,0.24,Y,4
17700,31,103000.0,Mortgage,3.0,Venture,B,15000.0,0.0,0,0.15,N,6
17701,30,65136.0,Mortgage,0.0,Personal,C,6250.0,12.87,0,0.1,Y,9
17702,25,15600.0,Own,0.0,Venture,F,3200.0,18.09,1,0.21,N,2
17703,22,43000.0,Rent,2.0,Debtconsolidation,A,14400.0,7.88,1,0.33,N,2
17704,23,35400.0,Rent,4.0,Venture,B,9600.0,11.89,0,0.27,N,2
